Name,Institution,City,County,Enrollment,Founded
"California State Polytechnic University, Humboldt",CSU,Arcata,Humboldt,"6,025",1913
"California State University, Bakersfield",CSU,Bakersfield,Kern,"9,613",1965
"University of California, Berkeley",UC,Berkeley,Alameda,"45,307",1869
California State University Channel Islands,CSU,Camarillo,Ventura,"6,128",2002
"California State University, Dominguez Hills",CSU,Carson,Los Angeles,"16,426",1960
"California State University, Chico",CSU,Chico,Butte,"14,183",1887
"University of California, Davis",UC,Davis,Yolo,"39,679",1905
"California State University, Fresno",CSU,Fresno,Fresno,"23,999",1911
"California State University, Fullerton",CSU,Fullerton,Orange,"40,386",1957
"California State University, East Bay",CSU,Hayward,Alameda,"13,673",1957
"University of California, Irvine",UC,Irvine,Orange,"35,937",1965
"California State University, Long Beach",CSU,Long Beach,Los Angeles,"38,973",1949
"University of California, Los Angeles",UC,Los Angeles,Los Angeles,"46,430",1882
"California State University, Los Angeles",CSU,Los Angeles,Los Angeles,"26,460",1947
"University of California, Merced",UC,Merced,Merced,"9,110",2005
"California State University, Northridge",CSU,Northridge,Los Angeles,"37,579",1958
"California State Polytechnic University, Pomona",CSU,Pomona,Los Angeles,"27,503",1938
"University of California, Riverside",UC,Riverside,Riverside,"26,809",1954
Sonoma State University,CSU,Rohnert Park,Sonoma,"6,637",1960
"California State University, Sacramento",CSU,Sacramento,Sacramento,"31,818",1947
"California State University, San Bernardino",CSU,San Bernardino,San Bernardino,"19,803",1965
"University of California, San Diego",UC,San Diego,San Diego,"42,006",1960
San Diego State University,CSU,San Diego,San Diego,"37,402",1897
San Francisco State University,CSU,San Francisco,San Francisco,"25,282",1899
San Jose State University,CSU,San Jose,Santa Clara,"35,751",1857
"California Polytechnic State University, San Luis Obispo",CSU,San Luis Obispo,San Luis Obispo,"22,000",1901
California State University San Marcos,CSU,San Marcos,San Diego,"15,109",1988
"University of California, Santa Barbara",UC,Santa Barbara,Santa Barbara,"26,420",1891
"University of California, Santa Cruz",UC,Santa Cruz,Santa Cruz,"19,478",1965
"California State University, Monterey Bay",CSU,Seaside-Marina,Monterey,"7,045",1994
"California State University, Stanislaus",CSU,Turlock,Stanislaus,"10,154",1957
California State University Maritime Academy,CSU,Vallejo,Solano,"1,017",1929
